ID;Name Deutsch;Name Latein;Pflanzenfamilie;Jan;Feb;Mar;Apr;Mai;Jun;Jul;Aug;Sep;Okt;Nov;Dez;Wuchsform;rot;orange;gelb;grün;blau;violett;rosa;weiss;Funddatum;Notizen
72;Orangenthymian;Thymus fragrantissimus;Lamiaceae;0;0;0;0;0;1;1;0;0;0;0;0;Zwergstrauch;0;0;0;0;0;0;1;1;;
73;Gewürz-Thymian;Thymus vulgaris;Lamiaceae;0;0;0;0;1;1;1;0;0;0;0;0;Zwergstrauch;0;0;0;0;0;1;1;0;02.05.2026;
74;Gelbe Schwertlilie;Iris pseudacorus;Iridaceae;0;0;0;0;0;1;0;0;0;0;0;0;Hydrophyt;0;0;1;0;0;0;0;0;28.03.2026;
75;Raugras;Achnatherum calamagrostis;Poaceae;0;0;0;0;0;1;1;1;1;0;0;0;Staude;0;0;0;1;0;0;0;0;15.06.2026;
76;Reitgras;Calamagrostis acutiflora (x) Karl Foerster;Poaceae;0;0;0;0;0;1;1;1;0;0;0;0;Staude;0;0;0;1;0;0;0;0;;
77;Rutenhirse;Panicum virgatum;Poaceae;0;0;0;0;0;0;1;1;1;0;0;0;Staude;0;0;0;1;0;0;0;0;;
78;Hängepolster-Glockenblume;Campanula poscharskyana;Campanulaceae;0;0;0;0;0;1;1;1;0;0;0;0;Staude;0;0;0;0;0;1;0;0;;
79;Heide-Nelke;Dianthus deltoides;Caryophyllaceae;0;0;0;0;0;1;1;1;0;0;0;0;Staude;0;0;0;0;0;0;1;0;;Die Sorte heisst Flashing Light
80;Gemeines Sonnenröschen;Helianthemum nummularium;Cistaceae;0;0;0;0;1;1;1;1;1;1;0;0;Zwergstrauch;0;0;1;0;0;0;0;0;;
81;Edel-Gamander;Teucrium chamaedrys;Lamiaceae;0;0;0;0;0;1;1;1;0;0;0;0;Halbstrauch;0;0;0;0;0;0;1;0;;
82;Gewöhnliche Wiesen-Schafgarbe;Achillea millefolium;Asteraceae;0;0;0;0;0;1;1;1;1;0;0;0;Staude;0;0;0;0;0;0;0;1;;
83;Schweizer Frauenmantel;Alchemilla glaucescens var. helvetica;Rosaceae;0;0;0;0;0;1;1;1;0;0;0;0;Staude;0;0;1;1;0;0;0;0;;
84;Waldaster;Aster divaricatus;Asteraceae;0;0;0;0;0;0;0;1;1;1;0;0;Staude;0;0;0;0;0;0;0;1;;
85;Echter Dost;Origanum vulgare;Lamiaceae;0;0;0;0;0;0;1;1;1;0;0;0;Staude;0;0;0;0;0;0;1;0;08.07.2026;
86;Arznei-Feld-Thymian;Thymus pulegioides;Lamiaceae;0;0;0;0;0;1;1;1;1;0;0;0;Zwergstrauch;0;0;0;0;0;1;1;0;;
87;Rotblättriger Kriechender Günsel;Ajuga reptans Atropurpurea;Lamiaceae;0;0;0;1;1;0;0;0;0;0;0;0;Staude;0;0;0;0;1;1;0;0;;
88;Persischer Ehrenpreis;Veronica persica;Plantaginaceae;0;1;1;1;1;1;1;1;1;1;0;0;Einjähriges Kraut;0;0;0;0;1;0;0;0;08.03.2026;
89;Purpurrote Taubnessel;Lamium purpureum;Lamiaceae;0;0;1;1;1;1;1;1;1;1;0;0;Einjähriges Kraut;0;0;0;0;0;0;1;0;08.03.2026;
90;Scharbockskraut;Ranunculus ficaria;Ranunculaceae;0;0;1;1;0;0;0;0;0;0;0;0;Staude;0;0;1;0;0;0;0;0;08.03.2026;
91;Breitblättrige Traubenhyazinthe;Muscari latifolium ;Asparagaceae;0;0;0;1;1;0;0;0;0;0;0;0;Staude;0;0;0;0;1;1;0;0;29.03.2026;
92;Sibirischer Blaustern;Scilla siberica;Asparagaceae;0;0;1;1;0;0;0;0;0;0;0;0;Staude;0;0;0;0;0;1;0;0;29.03.2026;
93;Garten Hyazinthe;Hyacinthus orientalis;Asparagaceae;0;0;1;1;1;0;0;0;0;0;0;0;Staude;0;0;0;0;0;0;1;0;01.04.2026;
94;Gewöhnlicher Löwenzahn;Taraxacum officinale aggr.;Asteraceae;0;0;0;1;1;0;0;0;0;0;0;0;Staude;0;0;1;0;0;0;0;0;06.04.2026;
95;Gundelrebe;Glechoma hederacea L.;Lamiaceae;0;0;0;1;1;0;0;0;0;0;0;0;Staude;0;0;0;0;1;1;0;0;06.04.2026;
96;Garten Tulpe;Tulipa gesneriana L.;Liliaceae;0;0;0;1;1;0;0;0;0;0;0;0;Staude;0;0;1;0;0;0;0;0;06.04.2026;
